,0
1349,the shaggs
1350,pat thomas
1351,dusky
1352,big star
1353,youandewan
1354,emma ruth rundle
1355,joyce manor
1356,banks
1357,dva [hi:emotions]
1358,norah jones
1359,brookzill!
1360,goat
1361,mv & ee
1362,gatecreeper
1363,candiria
1364,janet jackson
1365,oasis
1366,helado negro
1367,dj mustard
1368,opeth
1369,phish
1370,phantogram
1371,the caretaker
1372,pixies
1373,francis and the lights
1374,neurosis
1375,solange
1376,balance and composure
1377,supersilent
1378,bruce haack
1379,jenny hval
1380,jack rose
1381,lusa maita
1382,oathbreaker
1383,aaron abernathy
1384,danny brown
1385,innanet james
1386,darcy james argue's secret society
1387,"masayoshi fujita, jan jelinek"
1388,bob weir
1389,s u r v i v e
1390,steve reich
1391,carl stone
1392,bon iver
1393,mike & rich
1394,thomas brinkmann
1395,nicolas jaar
1396,warpaint
1397,moor mother
1398,blonde redhead
1399,flock of dimes
1400,lvl up
1401,devendra banhart
1402,machinedrum
1403,chinx
1404,itasca
1405,how to dress well
1406,merchandise
1407,beach slang
1408,alunageorge
1409,erykah badu
1410,against me!
1411,the gaslamp killer
1412,crooked man
1413,eola
1414,"hamilton leithauser, rostam"
1415,local natives
1416,biosphere
1417,mykki blanco
1418,bruce springsteen
1419,die antwoord
1420,dyke drama
1421,a tribe called red
1422,usher
1423,kool keith
1424,led zeppelin
1425,grumbling fur
1426,preoccupations
1427,robert glasper experiment
1428,mndsgn
1429,sumerlands
1430,mac miller
1431,julius eastman
1432,"bryce dessner, aaron dessner"
1433,"dj fresh, ezale"
1434,cymbals eat guitars
1435,touch amor
1436,silver apples
1437,"matthew shipp, bobby kapp"
1438,"kaitlyn aurelia smith, suzanne ciani"
1439,fudge
1440,wrekmeister harmonies
1441,tim presley
1442,manuel gttsching
1443,cristian vogel
1444,el perro del mar
1445,m.i.a.
1446,jhann jhannsson
1447,jack white
1448,"steve buscemi, elliott sharp"
1449,alpha 606
1450,adam torres
1451,vox clamantis
1452,caetano veloso
1453,okkervil river
1454,banks & steelz
1455,lisa/liza
1456,daniel lanois
1457,drugdealer
1458,james vincent mcmorrow
1459,travis scott
1460,p.s. eliot
1461,carly rae jepsen
1462,isaiah rashad
1463,eluvium
1464,circle
1465,zomby
1466,teenage fanclub
1467,clipping.
1468,yohuna
1469,terry riley
1470,de la soul
1471,mekons
1472,nots
1473,d.a.r.k.
1474,junior boys
1475,serpentwithfeet
1476,prince
1477,"soundwalk collective, patti smith, jesse paris smith"
1478,funk factory
1479,jon hopkins
1480,the dead c
1481,crystal castles
1482,porches
1483,nathan bowles
1484,cass mccombs
1485,"gucci mane, zaytoven"
1486,subrosa
1487,motion graphics
1488,the roots
1489,"katy goodman, greta morgan"
1490,kornl kovcs
1491,controlled bleeding
1492,cassius
1493,red pill
1494,feral
1495,carl broemel
1496,frank ocean
1497,battle trance
1498,brendan canning
1499,charlotte day wilson
1500,tokyo black star
1501,tree
1502,mild high club
1503,marielle v. jakobsons
1504,scott walker
1505,scott hirsch
1506,morgan delt
1507,"steve lehman, slbyone"
1508,stevie wonder
1509,ka
1510,"atticus ross, leopold ross, bobby krlic"
1511,rattle
1512,dj earl
1513,sonic youth
1514,the grifters
1515,gonjasufi
1516,atmosphere
1517,fury
1518,hockey dad
1519,lexxi
1520,partynextdoor
1521,pill
1522,mal devisa
1523,lando chill
1524,rae sremmurd
1525,slow club
1526,roosevelt
1527,pj harvey
1528,the chills
1529,ryley walker
1530,the 7th plain
1531,factory floor
1532,themind
1533,dj snake
1534,elvis presley
1535,m. geddes gengras
1536,jon bap
1537,katie dey
1538,zhu
1539,noname
1540,michal turtle
1541,cluster ensemble
1542,michael jackson
1543,sunny day real estate
1544,cam & china
1545,nels cline
1546,panopticon
1547,trim
1548,"delia derbyshire, elsa stansfield"
1549,rival consoles
1550,descendents
1551,haley bonar
1552,blowout
1553,dinosaur jr.
1554,delroy edwards
1555,thunder tillman
1556,cheena
1557,nao
1558,steve aoki
1559,shy layers
1560,owen
1561,titus andronicus
1562,hieroglyphic being
1563,metronome
1564,"mary lattimore, jeff zeigler"
1565,red hot chili peppers
1566,nina simone
1567,no joy
1568,psalm zero
1569,elza soares
1570,william s. burroughs
1571,stwo
1572,frankie reyes
1573,jeremih
1574,lori mckenna
1575,tristan perich
1576,russian circles
1577,florian kupfer
1578,hammers of misfortune
1579,gap dream
1580,big business
1581,"blu, nottz"
1582,michael kiwanuka
1583,notekillers
1584,"21 savage, metro boomin"
1585,wymond miles
1586,the amazing
1587,jherek bischoff
1588,z-ro
1589,pauline oliveros
1590,jamila woods
1591,dreezy
1592,max romeo
1593,johnny foreigner
1594,ian william craig
1595,towkio
1596,wreck and reference
1597,mstrkrft
1598,pylon
1599,wolfgang tillmans
1600,camp cope
1601,shackleton
1602,the julie ruin
1603,mark barrott
1604,shura
1605,betty davis
1606,kel valhaal
